runA	runB	studyA	studyB	nameA	nameB	relation	prior	stat_identical	suppA	suppB	topA	verdict
ERR1654653	ERR2706944	PRJEB15463	PRJEB27847	Mycobacterium tuberculosis complex sp.	Mycobacterium tuberculosis	same_genus	EXACT_md5	False	None	0.0355	[('Mycobacterium tuberculosis', 3.5), ('Mycobacterium canettii', 0.1), ('Mycobacterium bovis', 0.0)]	species-level reads support B only
ERR990679	ERR993532	PRJEB10578	PRJEB10590	Bacteria aborigena	Bacteria ambigua	same_genus	EXACT_md5	True	0.0	0.0	[('Succinivibrio dextrinosolvens', 10.8), ('Elusimicrobium minutum', 1.1), ('Allofustis seminis', 0.2)]	species-level reads support neither
ERR1465834	ERR552016	PRJEB11460	PRJEB6273	Mycobacterium tuberculosis	Mycobacterium tuberculosis complex sp.	same_genus	EXACT_md5	False	0.0401	None	[('Mycobacterium tuberculosis', 4.0), ('Mycobacterium canettii', 0.0), ('Mycobacterium africanum', 0.0)]	species-level reads support A only
ERR957225	ERR993595	PRJEB9815	PRJEB10590	Bacteria aborigena	Bacteria ambigua	same_genus	EXACT_md5	True	0.0	0.0	[('Fusicatenibacter saccharivorans', 11.8), ('Blautia wexlerae', 8.0), ('Bifidobacterium longum', 7.8)]	species-level reads support neither
ERR990717	ERR993551	PRJEB10578	PRJEB10590	Bacteria aborigena	Bacteria ambigua	same_genus	EXACT_md5	True	0.0	0.0	[('Collinsella sp. MS5', 1.3), ('Methanosphaera stadtmanae', 0.2), ('Streptococcus thermophilus', 0.1)]	species-level reads support neither
ERR1465840	ERR552698	PRJEB11460	PRJEB6273	Mycobacterium tuberculosis	Mycobacterium tuberculosis complex sp.	same_genus	EXACT_md5	False	0.0304	None	[('Mycobacterium tuberculosis', 3.0), ('Mycobacterium canettii', 0.0), ('Homo sapiens', 0.0)]	species-level reads support A only
ERR1654657	ERR2706966	PRJEB15463	PRJEB27847	Mycobacterium tuberculosis complex sp.	Mycobacterium tuberculosis	same_genus	EXACT_md5	False	None	0.0349	[('Mycobacterium tuberculosis', 3.5), ('Mycobacterium canettii', 0.1), ('Mycobacterium bovis', 0.0)]	species-level reads support B only
ERR1199096	ERR1654689	PRJEB11460	PRJEB15463	Mycobacterium tuberculosis	Mycobacterium tuberculosis complex sp.	same_genus	EXACT_md5	True	0.0363	None	[('Mycobacterium tuberculosis', 3.6), ('Mycobacterium canettii', 0.1), ('Mycobacterium bovis', 0.0)]	species-level reads support A only
ERR1654689	ERR2707123	PRJEB15463	PRJEB27847	Mycobacterium tuberculosis complex sp.	Mycobacterium tuberculosis	same_genus	EXACT_md5	False	None	0.0363	[('Mycobacterium tuberculosis', 3.6), ('Mycobacterium canettii', 0.1), ('Mycobacterium bovis', 0.0)]	species-level reads support B only
ERR1654683	ERR2707091	PRJEB15463	PRJEB27847	Mycobacterium tuberculosis complex sp.	Mycobacterium tuberculosis	same_genus	EXACT_md5	False	None	0.0366	[('Mycobacterium tuberculosis', 3.7), ('Mycobacterium canettii', 0.1), ('Mycobacterium bovis', 0.0)]	species-level reads support B only
ERR1654672	ERR2707052	PRJEB15463	PRJEB27847	Mycobacterium tuberculosis complex sp.	Mycobacterium tuberculosis	same_genus	EXACT_md5	False	None	0.0378	[('Mycobacterium tuberculosis', 3.8), ('Mycobacterium canettii', 0.1), ('Mycobacterium bovis', 0.0)]	species-level reads support B only
ERR1654686	ERR2707104	PRJEB15463	PRJEB27847	Mycobacterium tuberculosis complex sp.	Mycobacterium tuberculosis	same_genus	EXACT_md5	False	None	0.0383	[('Mycobacterium tuberculosis', 3.8), ('Mycobacterium canettii', 0.1), ('Mycobacterium bovis', 0.0)]	species-level reads support B only
ERR990700	ERR993543	PRJEB10578	PRJEB10590	Bacteria aborigena	Bacteria ambigua	same_genus	EXACT_md5	True	0.0	0.0	[('Streptococcus thermophilus', 0.8), ('Adlercreutzia equolifaciens', 0.2), ('Ruminococcus sp. HUN007', 0.0)]	species-level reads support neither
ERR957223	ERR993594	PRJEB9815	PRJEB10590	Bacteria aborigena	Bacteria ambigua	same_genus	EXACT_md5	True	0.0	0.0	[('Streptococcus thermophilus', 0.0), ('Ruminococcus sp. HUN007', 0.0), ('Streptococcus pneumoniae', 0.0)]	species-level reads support neither
ERR1465856	ERR551763	PRJEB11460	PRJEB9680	Mycobacterium tuberculosis	Mycobacterium tuberculosis complex sp.	same_genus	EXACT_md5	True	0.035	None	[('Mycobacterium tuberculosis', 3.5), ('Mycobacterium canettii', 0.1), ('Mycobacterium bovis', 0.0)]	species-level reads support A only
ERR1654676	ERR2707070	PRJEB15463	PRJEB27847	Mycobacterium tuberculosis complex sp.	Mycobacterium tuberculosis	same_genus	EXACT_md5	False	None	0.0355	[('Mycobacterium tuberculosis', 3.6), ('Mycobacterium canettii', 0.1), ('Mycobacterium bovis', 0.0)]	species-level reads support B only
ERR990699	ERR993542	PRJEB10578	PRJEB10590	Bacteria aborigena	Bacteria ambigua	same_genus	EXACT_md5	True	0.0	0.0	[('Clostridium sp. CL-2', 1.0), ('Streptococcus thermophilus', 0.6), ('Ruminococcus sp. HUN007', 0.4)]	species-level reads support neither
ERR1654695	ERR2707148	PRJEB15463	PRJEB27847	Mycobacterium tuberculosis complex sp.	Mycobacterium tuberculosis	same_genus	EXACT_md5	False	None	0.0382	[('Mycobacterium tuberculosis', 3.8), ('Mycobacterium canettii', 0.1), ('Mycobacterium africanum', 0.0)]	species-level reads support B only
ERR1654663	ERR2707009	PRJEB15463	PRJEB27847	Mycobacterium tuberculosis complex sp.	Mycobacterium tuberculosis	same_genus	EXACT_md5	False	None	0.0316	[('Mycobacterium tuberculosis', 3.2), ('Mycobacterium canettii', 0.1), ('Mycobacterium bovis', 0.0)]	species-level reads support B only
ERR1465869	ERR552512	PRJEB11460	PRJEB9680	Mycobacterium tuberculosis	Mycobacterium tuberculosis complex sp.	same_genus	EXACT_md5	False	0.0349	None	[('Mycobacterium tuberculosis', 3.5), ('Mycobacterium canettii', 0.1), ('Mycobacterium bovis', 0.0)]	species-level reads support A only
ERR1199127	ERR1654704	PRJEB11460	PRJEB15463	Mycobacterium tuberculosis	Mycobacterium tuberculosis complex sp.	same_genus	EXACT_md5	True	0.0367	None	[('Mycobacterium tuberculosis', 3.7), ('Mycobacterium canettii', 0.1), ('Mycobacterium bovis', 0.0)]	species-level reads support A only
ERR1654704	ERR2707206	PRJEB15463	PRJEB27847	Mycobacterium tuberculosis complex sp.	Mycobacterium tuberculosis	same_genus	EXACT_md5	False	None	0.0367	[('Mycobacterium tuberculosis', 3.7), ('Mycobacterium canettii', 0.1), ('Mycobacterium bovis', 0.0)]	species-level reads support B only
ERR1654694	ERR2707142	PRJEB15463	PRJEB27847	Mycobacterium tuberculosis complex sp.	Mycobacterium tuberculosis	same_genus	EXACT_md5	False	None	0.037	[('Mycobacterium tuberculosis', 3.7), ('Mycobacterium canettii', 0.1), ('Mycobacterium bovis', 0.0)]	species-level reads support B only
ERR1845020	ERR2262736	PRJEB19502	PRJEB24580	Bos taurus	Mus musculus	same_higher_depth8	EXACT_md5	False	0.0	0.0	[('Lactobacillus reuteri', 0.4), ('Parabacteroides sp. YL27', 0.3), ('Lachnobacterium bovis', 0.3)]	species-level reads support neither
ERR1654699	ERR2707183	PRJEB15463	PRJEB27847	Mycobacterium tuberculosis complex sp.	Mycobacterium tuberculosis	same_genus	EXACT_md5	False	None	0.0363	[('Mycobacterium tuberculosis', 3.6), ('Mycobacterium canettii', 0.1), ('Mycobacterium bovis', 0.0)]	species-level reads support B only
ERR1199110	ERR1654680	PRJEB11460	PRJEB15463	Mycobacterium tuberculosis	Mycobacterium tuberculosis complex sp.	same_genus	EXACT_md5	True	0.0352	None	[('Mycobacterium tuberculosis', 3.5), ('Mycobacterium canettii', 0.1), ('Mycobacterium bovis', 0.0)]	species-level reads support A only
